feature,importance_mean,importance_std
is_month_to_month,0.042299994479314026,0.011364100881962038
Contract,0.03748051957050101,0.012796788907643065
tenure,0.02505683566603103,0.00688867072184465
tenure_group,0.019739313211752364,0.004395757132062416
TotalCharges,0.013070906271425053,0.0022047827613578697
digital_payment_risk,0.0038917045433970896,0.002428527226175007
OnlineSecurity,0.003337197300142247,0.005187945724987769
charges_gap,0.003330199935387479,0.003840117328617217
has_fiber_optic,0.002425211266685534,0.005368286811696322
PaymentMethod,0.0018345926035241654,0.0021885546157818497
TechSupport,0.0005359022087627396,0.002740905745950894
has_internet_service,0.00013719184415130758,0.0005800416888219631
tenure_is_zero,0.0,0.0
has_support_services,0.0,0.0
TotalCharges_was_missing,0.0,0.0
paperless_billing_flag,-1.6456974034628756e-07,0.0003441153600196382
phone_or_addon_services_count,-0.00017826513605883053,0.0019069398701872435
Partner,-0.00020662717181636482,0.00016871037931482765
is_electronic_check,-0.0003828819170208941,0.0019235447724898149
PhoneService,-0.0004822949209078331,0.00022858405973061856
total_services_count,-0.000704894814263457,0.0016840897357169326
DeviceProtection,-0.0008206582160039666,0.000991767553446449
support_services_count,-0.000990571805748297,0.00367481347905559
StreamingMovies,-0.0010924225298540424,0.003112863975991508
InternetService,-0.00134057185581421,0.004975147738545392
streaming_services_count,-0.0013740005389389798,0.004395697382807668
SeniorCitizen,-0.0017009678146758024,0.0013806813133254037
Dependents,-0.001829128810701286,0.002261349287759358
OnlineBackup,-0.0019464425840589271,0.0017255893386524611
PaperlessBilling,-0.002510706866822654,0.001930955287996422
StreamingTV,-0.0026744785540541048,0.0022419789161421196
gender,-0.0028372784522798346,0.0017675534843341202
MonthlyCharges,-0.0035533797278458623,0.0031241298890533234
MultipleLines,-0.00465112032547651,0.001780361420748599
avg_charge_per_tenure,-0.005623973731234499,0.003722733327484271
