model,pr_auc_mean,pr_auc_std,f2_mean,recall_mean,precision_mean,f1_mean,roc_auc_mean,accuracy_mean
random_forest,0.6602063554150238,0.023637110329887266,0.7027076225521357,0.7565217391304349,0.5472581445673137,0.6350174887410546,0.8471984913855799,0.7692607261454276
gradient_boosting,0.660120037572218,0.02046287451273635,0.5346930292286979,0.5090301003344482,0.6715617585212232,0.578649331323305,0.8463659696588749,0.8035163065148833
logistic_regression,0.6594613320502353,0.013273472166166976,0.714727047071605,0.788628762541806,0.5202091446977524,0.626757997524574,0.8468849378098422,0.7509786430596642
decision_tree,0.6218179506658202,0.031203736016128615,0.7081658665354842,0.7792642140468228,0.5202278942113364,0.6233639867488284,0.8315353113305834,0.7502665874443066
dummy_most_frequent,0.2653532460941748,9.424729039040346e-05,0.0,0.0,0.0,0.0,0.5,0.7346467539058252
