threshold,f2,f1,recall,precision,positive_rate_predicted
0.22,0.7438449449973809,0.5612648221343873,0.9498327759197325,0.39831697054698456,0.6326530612244898
0.23,0.7428872497365648,0.5634365634365635,0.9431438127090301,0.4017094017094017,0.6228926353149956
0.25,0.7428115015974441,0.5688073394495413,0.9331103678929766,0.4090909090909091,0.6051464063886424
0.21,0.7425742574257426,0.5577299412915852,0.9531772575250836,0.3941908713692946,0.6415261756876663
0.24,0.7404458598726115,0.5653495440729484,0.9331103678929766,0.4055232558139535,0.6104702750665484
0.14,0.7400903161063723,0.5383211678832117,0.9866220735785953,0.370138017565872,0.707187222715173
0.19,0.7397827211588205,0.5521235521235521,0.9565217391304348,0.3880597014925373,0.6539485359361136
0.2,0.7391078838174274,0.5528612997090203,0.9531772575250836,0.38934426229508196,0.6495119787045253
0.29,0.7390362750406064,0.5747368421052632,0.9130434782608695,0.41935483870967744,0.577639751552795
0.17,0.7387525562372188,0.5457979225684608,0.9665551839464883,0.38026315789473686,0.6743566992014197
0.41,0.738274464389114,0.6144578313253012,0.8528428093645485,0.480225988700565,0.47116237799467614
0.3,0.7380174291938998,0.577209797657082,0.9063545150501672,0.4234375,0.5678793256433008
0.18,0.7377892030848329,0.5477099236641222,0.959866220735786,0.38317757009345793,0.6645962732919255
0.26,0.7375734901122395,0.5667351129363449,0.9230769230769231,0.4088888888888889,0.5989352262644189
0.31,0.737390350877193,0.5803667745415318,0.8996655518394648,0.428343949044586,0.5572315882874889
0.32,0.7367549668874173,0.5836065573770491,0.8929765886287625,0.43344155844155846,0.546583850931677
0.43,0.7364114552893045,0.6191646191646192,0.842809364548495,0.4893203883495146,0.4569653948535936
0.13,0.7363954068896655,0.5334538878842676,0.9866220735785953,0.3655514250309789,0.7160603371783496
0.28,0.7358490566037735,0.569937369519833,0.9130434782608695,0.4142640364188164,0.5847382431233363
0.15,0.7355915065722952,0.5383903792784459,0.9732441471571907,0.3721227621483376,0.6938775510204082
0.4,0.7352941176470589,0.6093189964157706,0.8528428093645485,0.4739776951672863,0.47737355811889975
0.16,0.7349949135300101,0.5406922357343311,0.9665551839464883,0.37532467532467534,0.6832298136645962
0.33,0.7348863006100943,0.5849889624724062,0.8862876254180602,0.43657331136738053,0.5385980479148181
0.27,0.7345844504021448,0.5661157024793388,0.9163879598662207,0.40956651718983555,0.5936113575865128
0.39,0.7343660355708549,0.6052009456264775,0.8561872909698997,0.4680073126142596,0.48535936113575867
0.36,0.7340485601355167,0.5949656750572082,0.8695652173913043,0.45217391304347826,0.5102040816326531
0.42,0.7334109429569267,0.6138855054811205,0.842809364548495,0.4827586206896552,0.4631765749778172
0.34,0.7325905292479109,0.5857461024498887,0.8795986622073578,0.43906510851419034,0.5314995563442768
0.45,0.7324276432368576,0.6231155778894473,0.8294314381270903,0.49899396378269617,0.4409937888198758
0.35,0.7323232323232324,0.5898305084745763,0.8729096989966555,0.4453924914675768,0.5199645075421473
0.37,0.7321225879682179,0.5965317919075145,0.862876254180602,0.4558303886925795,0.5022182786157942
0.44,0.7319223985890653,0.6194029850746269,0.8327759197324415,0.49306930693069306,0.44809228039041704
0.38,0.7317767653758542,0.5983701979045402,0.8595317725752508,0.4589285714285714,0.4968944099378882
0.12,0.7316468253968254,0.5272564789991063,0.9866220735785953,0.3597560975609756,0.7275953859804791
0.49,0.7310469314079422,0.6352941176470588,0.8127090301003345,0.5214592274678111,0.4134871339840284
0.48,0.7288542291541692,0.6311688311688312,0.8127090301003345,0.5159235668789809,0.4179236912156167
0.47,0.727489564698867,0.6256410256410256,0.8160535117056856,0.5072765072765073,0.42679680567879325
0.11,0.7273175542406312,0.5216622458001768,0.9866220735785953,0.3545673076923077,0.738243123336291
0.46,0.7265717674970344,0.6210392902408112,0.8193979933110368,0.5,0.43478260869565216
0.5,0.7242424242424242,0.6347941567065073,0.7993311036789298,0.526431718061674,0.4028393966282165
0.1,0.72021484375,0.5125977410947002,0.9866220735785953,0.34624413145539906,0.7559893522626442
0.51,0.7164634146341463,0.6325706594885598,0.7859531772575251,0.5292792792792793,0.3939662821650399
0.52,0.7160417947141979,0.6383561643835617,0.7792642140468228,0.5406032482598608,0.3824312333629104
0.53,0.7054455445544554,0.6342141863699583,0.7625418060200669,0.5428571428571428,0.37267080745341613
0.54,0.7045313469894475,0.6358543417366946,0.7591973244147158,0.5469879518072289,0.3682342502218279
0.56,0.7030264817150063,0.6473149492017417,0.745819397993311,0.5717948717948718,0.3460514640638864
0.55,0.7026858213616489,0.6392045454545454,0.7525083612040134,0.5555555555555556,0.3593611357586513
0.57,0.6984829329962073,0.6452554744525547,0.7391304347826086,0.572538860103627,0.34250221827861577
0.58,0.6956797966963151,0.6469719350073855,0.7324414715719063,0.5793650793650794,0.33540372670807456
0.6,0.694980694980695,0.6575342465753424,0.7224080267558528,0.6033519553072626,0.31765749778172137
0.59,0.6928480204342273,0.648729446935725,0.725752508361204,0.5864864864864865,0.3283052351375333
0.61,0.6920077972709552,0.6635514018691588,0.7123745819397993,0.6209912536443148,0.30434782608695654
0.62,0.68717277486911,0.6656101426307448,0.7023411371237458,0.6325301204819277,0.29458740017746227
0.63,0.6837606837606838,0.6666666666666666,0.6956521739130435,0.64,0.2883762200532387
0.64,0.6779100529100529,0.6666666666666666,0.68561872909699,0.6487341772151899,0.2803904170363798
0.65,0.6691078561917443,0.6644628099173554,0.6722408026755853,0.6568627450980392,0.27151730257320317
0.66,0.6480859637340497,0.652027027027027,0.6454849498327759,0.658703071672355,0.25998225377107365
0.67,0.6309041835357625,0.6393162393162393,0.6254180602006689,0.6538461538461539,0.25377107364685003
0.68,0.6232970027247956,0.6409807355516638,0.6120401337792643,0.6727941176470589,0.24134871339840283
0.69,0.6005490734385724,0.625,0.5852842809364549,0.6704980842911877,0.2315882874889086
0.7,0.5882352941176471,0.6204379562043796,0.568561872909699,0.6827309236947792,0.2209405501330967
0.71,0.5722260990928123,0.6119402985074627,0.5484949832775919,0.6919831223628692,0.21029281277728482
0.72,0.5430183356840621,0.5911708253358925,0.5150501672240803,0.6936936936936937,0.19698314108251996
0.73,0.5390070921985816,0.5925925925925926,0.5083612040133779,0.7102803738317757,0.1898846495119787
0.74,0.5193409742120344,0.5811623246492986,0.48494983277591974,0.725,0.1774622892635315
0.75,0.5068296189791517,0.5708502024291497,0.47157190635451507,0.7230769230769231,0.1730257320319432
0.76,0.45687134502923976,0.5307855626326964,0.4180602006688963,0.7267441860465116,0.1526175687666371
0.77,0.44452608376193975,0.521551724137931,0.40468227424749165,0.7333333333333333,0.14640638864241348
0.78,0.41913946587537093,0.5011086474501109,0.3779264214046823,0.743421052631579,0.13487133984028393
0.79,0.39925373134328357,0.48306997742663654,0.35785953177257523,0.7430555555555556,0.12777284826974267
0.8,0.37218045112781956,0.45727482678983833,0.3311036789297659,0.7388059701492538,0.1188997338065661
0.81,0.3386605783866058,0.42685851318944845,0.2976588628762542,0.7542372881355932,0.10470275066548358
0.82,0.32134659525631215,0.4097560975609756,0.2809364548494983,0.7567567567567568,0.09849157054125998
0.83,0.300462249614792,0.38902743142144636,0.2608695652173913,0.7647058823529411,0.09050576752440107
0.84,0.28316524437548485,0.37244897959183676,0.24414715719063546,0.7849462365591398,0.08251996450754215
0.85,0.2658326817826427,0.35602094240837695,0.22742474916387959,0.8192771084337349,0.07364685004436557
0.86,0.2444794952681388,0.33423180592991913,0.20735785953177258,0.8611111111111112,0.06388642413487133
0.87,0.199203187250996,0.27932960893854747,0.16722408026755853,0.847457627118644,0.05235137533274179
0.88,0.1725521669341894,0.24641833810888253,0.14381270903010032,0.86,0.044365572315882874
0.89,0.1532258064516129,0.22157434402332363,0.12709030100334448,0.8636363636363636,0.03904170363797693
0.9,0.10594947025264874,0.15757575757575756,0.08695652173913043,0.8387096774193549,0.027506654835847383
