threshold,f2,f1,recall,precision,positive_rate_predicted
0.31,0.7399347116430903,0.5781083953241233,0.9096989966555183,0.4236760124610592,0.5696539485359361
0.19,0.7398873527905786,0.5473484848484849,0.9665551839464883,0.3817701453104359,0.6716947648624667
0.27,0.7394554191137213,0.5676229508196722,0.9264214046822743,0.4091580502215657,0.6007098491570542
0.32,0.7393209200438116,0.581270182992465,0.903010033444816,0.42857142857142855,0.5590062111801242
0.34,0.7392996108949417,0.5898004434589801,0.8896321070234113,0.44112769485903813,0.5350488021295474
0.28,0.7391537225495447,0.5690721649484536,0.9230769230769231,0.4113263785394933,0.5953859804791481
0.15,0.7389779559118237,0.5368516833484986,0.9866220735785953,0.36875,0.709849157054126
0.33,0.7386990077177509,0.5845147219193021,0.8963210702341137,0.4336569579288026,0.5483584738243124
0.21,0.7386363636363636,0.5505293551491819,0.9565217391304348,0.3864864864864865,0.6566104702750666
0.26,0.7385759829968119,0.5644670050761421,0.9297658862876255,0.40524781341107874,0.6086956521739131
0.22,0.7384295371814873,0.5536062378167641,0.9498327759197325,0.390646492434663,0.645075421472937
0.3,0.7378378378378379,0.5729275970619098,0.9130434782608695,0.41743119266055045,0.580301685891748
0.24,0.7368421052631579,0.5583250249252243,0.9364548494983278,0.3977272727272727,0.6246672582076309
0.23,0.7366771159874608,0.5545722713864307,0.9431438127090301,0.39275766016713093,0.637089618456078
0.25,0.7366189719130896,0.5616161616161616,0.9297658862876255,0.402315484804631,0.6131322094055013
0.2,0.7363542739443872,0.5473684210526316,0.9565217391304348,0.38337801608579086,0.6619343389529725
0.18,0.7361181864493123,0.5422138836772983,0.9665551839464883,0.3767926988265971,0.6805678793256433
0.14,0.7360279441117764,0.5329719963866305,0.9866220735785953,0.3650990099009901,0.7169476486246673
0.47,0.7354685646500593,0.6286438529784537,0.8294314381270903,0.5061224489795918,0.43478260869565216
0.46,0.735380980507974,0.6256281407035176,0.8327759197324415,0.5010060362173038,0.4409937888198758
0.42,0.7349537037037037,0.6113116726835138,0.8494983277591973,0.4774436090225564,0.4720496894409938
0.44,0.7347775175644028,0.6189889025893958,0.8394648829431438,0.490234375,0.45430346051464066
0.48,0.7347670250896058,0.6332046332046332,0.822742474916388,0.5146443514644351,0.4241348713398403
0.36,0.7347167694896243,0.5914221218961625,0.8762541806020067,0.4463373083475298,0.520851818988465
0.29,0.7346609257265877,0.5681581685744017,0.9130434782608695,0.4123867069486405,0.5874001774622892
0.35,0.7346368715083799,0.5890257558790594,0.8795986622073578,0.44276094276094274,0.5270629991126885
0.17,0.733502538071066,0.5386766076421249,0.9665551839464883,0.3733850129198966,0.686779059449867
0.37,0.7332205301748449,0.593607305936073,0.8695652173913043,0.4506065857885615,0.5119787045252884
0.45,0.7327839905826957,0.6209476309226932,0.8327759197324415,0.49502982107355864,0.44631765749778174
0.4,0.7322654462242563,0.6016451233842538,0.8561872909698997,0.463768115942029,0.4897959183673469
0.16,0.7319535588086825,0.5350553505535055,0.9698996655518395,0.36942675159235666,0.6965394853593612
0.43,0.7317784256559767,0.6136919315403423,0.8394648829431438,0.4836223506743738,0.4605146406388642
0.41,0.7307249712313003,0.6040428061831153,0.8494983277591973,0.46863468634686345,0.48092280390417036
0.13,0.7301980198019802,0.5253784505788067,0.9866220735785953,0.3580097087378641,0.7311446317657497
0.49,0.7297297297297297,0.6328125,0.8127090301003345,0.5181236673773987,0.4161490683229814
0.39,0.7293447293447294,0.5967365967365967,0.8561872909698997,0.45796064400715564,0.49600709849157054
0.38,0.7264472190692395,0.5919075144508671,0.8561872909698997,0.45229681978798586,0.5022182786157942
0.5,0.7255139056831923,0.6340819022457067,0.802675585284281,0.5240174672489083,0.40638864241348716
0.12,0.7251720747295969,0.5189094107299912,0.9866220735785953,0.3520286396181384,0.743566992014197
